key,value
Desire Demon(s) (Dragon Age),51
Seneschal Varel,51
Krem,51
Gorim Saelac,51
Original Female Character(s) of Color,50
Male Rogue Lavellan,50
Kaidan Alenko,50
Female Dovahkiin | Dragonborn,50
Original Non-Inquisitor Adaar(s),50
Oren Cousland,49
Oriana Cousland,49
Desire Demon,49
Imshael (Dragon Age),49
Maxwell Trevelyan - Character,49
Greagoir,49
Flemeth | Mythal (Dragon Age),48
Harry Potter,48
Daveth,48
Wisdom (Dragon Age),47
Female Warrior Cousland,47
Charter (Dragon Age),46
Soris (Dragon Age),46
Original Male Character,46
Andruil (Dragon Age),45
King Alistair - Character,45
Queen Cousland - Character,45
Flissa (Dragon Age),44
Elf Warden (Dragon Age),44
The Architect,44
commander cullen,44
Warrior Inquisitor,44
Female Rogue Tabris,43
Warden Commander Amell,42
Gordon Blackwall,42
Bianca the Crossbow (Dragon Age),42
Roderick Asignon,42
Dalish (Dragon Age),42
Lily (Dragon Age),41
Maddox (Dragon Age),41
Falon'Din (Dragon Age),40
Brosca (Dragon Age),40
Wesley Vallen,40
Tony Stark,40
June (Dragon Age),40
June,40
Andraste,40
Scout Harding,40
James Vega,39
Steve Rogers,39
Female Rogue Warden,39
Bianca (Dragon Age),39
Keran (Dragon Age),39
Harritt,39
Jethann,39
Kai Trevelyan,39
Female Rogue Mahariel,39
Architect (Dragon Age),38
Dragon Age II Ensemble,38
Adaia Tabris,38
Taliesen (Dragon Age),38
Marethari Talas,38
Female Dwarf Warden,38
Scarlet Lavellan,38
Original Thedosian Character(s),37
Uldred,37
You,37
Herren,37
Dragon Age: Origins Ensemble,37
Male Warden,37
Aeducan,37
Bann Trevelyan,36
Original Female Elf Character(s),36
Male Mahariel (Dragon Age),36
Male Surana (Dragon Age),36
Marlowe Dumar,36
Elgar'nan (Dragon Age),36
Nightmare (Dragon Age),36
Alim Surana,36
Evie Trevelyan,36
Gatt,36
Templar (Dragon Age) - Character,36
Ferron Lavellan,36
Cadash (Dragon Age),35
Warden,35
Original Tevinter Character(s),35
Minaeve,35
Rhys (Dragon Age),35
Theo Trevelyan,35
Amallia Trevelyan,35
Female Aeducan (Dragon Age),34
Loki (Marvel),34
Annabel Trevelyan,34
Leto,33
Lavellan Clan (Dragon Age),33
Ser Thrask,33
Female Rogue Cadash,33
Male Amell (Dragon Age),32
Justinia V,32
Vivienne de Fer,32
Varania (Dragon Age),32
Fade Spirit(s),32
Elf Warden,32
Male Cadash (Dragon Age),31
Dennet (Dragon Age),31
Josephine Montilyet's Family,31
Dalish - Character,31
Templar(s) (Dragon Age),31
Dean Winchester,31
Irving,31
Venatori (Characters),31
Other(s),31
Elf Inquisitor,31
Warden Commander Cousland,31
Original Human Character(s),30
Liara T'Soni,30
Original Inquisitor Child(ren) (Dragon Age),30
The Divine,30
Avernus,30
Wade (Dragon Age),30
Inquisitor Adaar,30
Male Warrior Inquisitor,30
Marjolaine,30
Azzan Hawke,30
Arian Lavellan,30
Male Mage Warden,30
Charade Amell,29
Vengeance (Dragon Age),29
Bram Kenric,29
Thor (Marvel),29
Meeran,29
Leandra,29
Arl Eamon Guerrin,29
Quentin (Dragon Age),28
First Enchanter Irving,28
Male Shepard (Mass Effect),28
Inquisition Scout(s) (Dragon Age),28
Original Dalish Character(s) (Dragon Age),28
Anora,28
Ser Jory,28
Warden Commander,28
Original Dwarf Character(s),28
Regalyan D'Marcall,28
Rima Lavellan,28
"Jeff ""Joker"" Moreau",28
Eurydice Lavellan - Character,28
Orsino,28
Fabian Hawke,28
Inquisition Soldier(s) (Dragon Age),27
Circle Mage(s),27
Ancient Elf | Elves (Dragon Age),27
Qunari - Character,27
Original Avvar Character(s) (Dragon Age),27
Vaughan Kendells,27
Petrice (Dragon Age),27
Bran Cavin,27
Ghilan'nain (Dragon Age),27
Chancellor Roderick,27
Shokrakar,27
Warrior Hawke,27
Warrior Trevelyan,27
Varel,27
Sarita Lavellan,27
Evangeline de Brassard,26
Clint Barton,26
Evanuris - Character,26
Original Vashoth Character(s),26
Trian Aeducan,26
Sherlock Holmes,26
Samson,26
Sara Hawke,26
Female Caron,26
Tethiel Lavellan,26
Tali'Zorah nar Rayya,25
Felassan (Dragon Age),25
Orlesian Noble(s),25
Livia Herathinos,25
Ellana Lavellan - Character,25
Hadriana (Dragon Age),25
Original Hawke Character(s),25
Urthemiel,25
Brigid Trevelyan,25
Natia Brosca,25
Mage Inquisitor - Character,24
Clarel de Chanson,24
Hawke Family,24
Thomas Howe,24
Original Fereldan Character(s),24
Original Non-Warden Amell(s),24
Female OC,24
