date,value
12 May 2018,17
11 May 2018,23
10 May 2018,26
09 May 2018,11
08 May 2018,12
07 May 2018,15
06 May 2018,21
05 May 2018,23
04 May 2018,16
03 May 2018,12
02 May 2018,21
01 May 2018,8
30 Apr 2018,22
29 Apr 2018,18
28 Apr 2018,13
27 Apr 2018,28
26 Apr 2018,12
25 Apr 2018,21
24 Apr 2018,22
23 Apr 2018,29
22 Apr 2018,16
21 Apr 2018,13
20 Apr 2018,8
19 Apr 2018,12
18 Apr 2018,20
17 Apr 2018,6
16 Apr 2018,15
15 Apr 2018,15
14 Apr 2018,20
13 Apr 2018,21
12 Apr 2018,16
11 Apr 2018,14
10 Apr 2018,12
09 Apr 2018,15
08 Apr 2018,19
07 Apr 2018,12
06 Apr 2018,13
05 Apr 2018,19
04 Apr 2018,10
03 Apr 2018,8
02 Apr 2018,28
01 Apr 2018,16
31 Mar 2018,17
30 Mar 2018,24
29 Mar 2018,6
28 Mar 2018,5
27 Mar 2018,13
26 Mar 2018,16
25 Mar 2018,11
24 Mar 2018,18
23 Mar 2018,10
22 Mar 2018,17
21 Mar 2018,9
20 Mar 2018,10
19 Mar 2018,21
18 Mar 2018,17
17 Mar 2018,20
16 Mar 2018,14
15 Mar 2018,14
14 Mar 2018,15
13 Mar 2018,10
12 Mar 2018,18
11 Mar 2018,12
10 Mar 2018,6
09 Mar 2018,18
08 Mar 2018,15
07 Mar 2018,9
06 Mar 2018,15
05 Mar 2018,16
04 Mar 2018,19
03 Mar 2018,13
02 Mar 2018,20
01 Mar 2018,19
28 Feb 2018,14
27 Feb 2018,13
26 Feb 2018,13
25 Feb 2018,19
24 Feb 2018,17
23 Feb 2018,11
22 Feb 2018,15
21 Feb 2018,19
20 Feb 2018,7
19 Feb 2018,21
18 Feb 2018,18
17 Feb 2018,7
16 Feb 2018,12
15 Feb 2018,18
14 Feb 2018,27
13 Feb 2018,19
12 Feb 2018,12
11 Feb 2018,17
10 Feb 2018,19
09 Feb 2018,16
08 Feb 2018,11
07 Feb 2018,10
06 Feb 2018,9
05 Feb 2018,14
04 Feb 2018,25
03 Feb 2018,18
02 Feb 2018,15
01 Feb 2018,9
31 Jan 2018,9
30 Jan 2018,14
29 Jan 2018,11
28 Jan 2018,21
27 Jan 2018,14
26 Jan 2018,14
25 Jan 2018,12
24 Jan 2018,13
23 Jan 2018,14
22 Jan 2018,13
21 Jan 2018,13
