key,value
Carver Hawke / Cullen Rutherford,55
Male Hawke / Cullen Rutherford,55
Nathaniel Howe / Velanna,54
Female Adaar / Cassandra Pentaghast,54
Alistair / Male Cousland,54
Cullen / Trevelyan,54
Female Aeducan / Zevran Arainai,54
Iron Bull & Dorian Pavus,54
Fenris / Mage Hawke,53
Mage Inquisitor / Solas,53
Zevran Arainai / Female Brosca,53
Anders / Karl,53
Female Amell / Cullen,53
Solas (Dragon Age) / Original Female Character(s),52
Cullen Rutherford / Female Mage Warden,52
Fenris / Carver Hawke,52
Cullen / Lavellan,52
Cole / Female Lavellan,52
Leandra Hawke / Malcolm Hawke,52
Anders / Mage Hawke,52
Mahariel / Tamlen,52
Bethany Hawke / Varric Tethras,51
Original Female Character / Original Male Character,51
Alistair / Female Inquisitor,51
Alistair / Female Rogue Cousland,50
Sera / Female Trevelyan,50
Anders & Justice,50
Female Mage Inquisitor & Cullen Rutherford,49
Orsino / Meredith Stannard,49
Male Adaar / Cassandra Pentaghast,49
Bethany Hawke / Nathaniel Howe,49
"Cremisius ""Krem"" Aclassi / Lace Harding",48
Lavellan / Solas (Dragon Age),48
Anders / Female Warden,48
Fen'Harel / Inquisitor,47
Cullen / Carver Hawke,47
Anders / Male Warden,47
Leliana / Male Warden,46
Male Amell / Morrigan,46
Hawke / Fenris,46
Alistair / Female Warden,46
"Cremisius ""Krem"" Aclassi / Original Character(s)",45
Female Lavellan & Dorian Pavus,45
Fenris / Bethany Hawke,45
Female Amell / Anders,45
Josephine Montilyet / Cullen Rutherford,45
Female Inquisitor / Samson (Dragon Age),45
Female Cadash / Sera,44
Cullen / Female Mage Inquisitor,44
Cassandra Pentaghast / Vivienne,44
Male Hawke & Female Trevelyan,44
Iron Bull / Dorian Pavus / Cullen Rutherford,44
Josephine Montilyet / Male Trevelyan,43
Briala / Celene Valmont,43
Female Hawke / Aveline Vallen,43
Female Cadash / Varric Tethras,42
Female Inquisitor & Cullen Rutherford,42
Male Hawke / Female Inquisitor,42
Female Brosca / Leliana,42
Dorian Pavus / Male Mage Trevelyan,42
Anora Mac Tir / Cailan Theirin,42
Male Cousland / Anora Mac Tir,41
Anders / Hawke (Dragon Age),41
Nathaniel Howe / Female Warden,41
Blackwall / Female Mage Inquisitor,41
Female Amell / Morrigan,40
Arishok / Female Hawke,40
Cullen Rutherford / Raleigh Samson,40
Isabela / Josephine Montilyet,40
fenhawke,39
Alistair / Female Rogue Warden,39
Fenris / Merrill,38
Solas / Reader,38
Alistair & Cullen Rutherford,38
Hawke / Sebastian Vael,38
Fen'Harel / Female Inquisitor,38
Alistair / Cullen Rutherford / Female Trevelyan,38
Dalish / Skinner,38
Carver Hawke & Female Hawke,37
Teagan Guerrin / Female Warden,37
Female Lavellan / Original Male Character(s),37
Anders & Hawke,36
Iron Bull / Male Lavellan / Dorian Pavus,36
Solas - Relationship,36
Zevran Arainai / Isabela,36
Male Hawke / Original Female Character(s),35
Female Cousland / Anora Mac Tir,35
Male Adaar / Iron Bull / Dorian Pavus,35
Female Mage Inquisitor / Iron Bull,35
Male Mahariel / Morrigan,35
Carver Hawke / Female Hawke,35
Mage Lavellan / Cullen Rutherford,35
"Cremisius ""Krem"" Aclassi / Female Lavellan",35
Blackwall & Female Inquisitor,34
Carver Hawke / Male Hawke,34
Alistair / Zevran Arainai / Female Warden,34
Hawke / Anders,34
Blackwall / Trevelyan,34
Solas / OC,34
"Cremisius ""Krem"" Aclassi / Maryden Halewell",34
Dorian Pavus / Rilienus,34
Female Cousland / Teagan Guerrin,34
Anders & Fenris,34
M!Hawke / Fenris,34
Male Cadash / Dorian Pavus,33
Cullen / Female Surana,33
Male Lavellan / Josephine Montilyet,33
Alistair / Anders,33
Anders / Varric Tethras,33
Iron Bull / Solas,33
Hawke / Justice,33
Anders / Male Mahariel,33
Zevran Arainai / Leliana,32
Adoribull,32
Alistair / Tabris (Dragon Age),32
Carver Hawke / Isabela,32
Original Character / Original Character,32
Female Shepard / Garrus Vakarian,32
Cole / Female Trevelyan,32
Loghain Mac Tir / Female Trevelyan,32
Cassandra Pentaghast / Sera,32
Female Hawke / Cassandra Pentaghast,32
Anders & Female Hawke,31
Female Lavellan / Female Trevelyan,31
Bethany Hawke & Female Hawke,31
Anders / Isabela,31
Rylen / Female Trevelyan,31
Anders / Female Hawke / Justice,31
Male Cousland / Leliana,30
Original Male Character / Original Male Character,30
Fen'Harel / Lavellan,30
Fenris / Female Hawke / Isabela,30
Fenris / Original Female Character,30
Anders / Dorian Pavus,30
Dorian Pavus & Female Trevelyan,30
Morrigan & Female Warden,30
Amell / Zevran Arainai,30
Male Adaar / Cullen Rutherford,30
Aveline Vallen / Wesley Vallen,30
Loghain Mac Tir / Female Warden,30
Male Mahariel / Tamlen,30
Leliana / Mahariel,30
Male Cadash / Cassandra Pentaghast,30
Felix Alexius / Dorian Pavus,30
Adaar / Iron Bull,30
"Cremisius ""Krem"" Aclassi / Cullen Rutherford",30
Female Cadash / Josephine Montilyet,30
Blackwall / Dorian Pavus,29
Male Rogue Inquisitor / Dorian Pavus,29
Alistair / Leliana,29
Dorian Pavus / Original Character(s),29
Fenris & Hawke,29
Alistair / Female Warrior Cousland,29
Hawke / Cullen Rutherford,29
Female Lavellan / Varric Tethras,29
Bethany Hawke / Female Hawke,29
Hawke & Varric Tethras,29
Dorian / Iron Bull,29
Leliana & Josephine Montilyet,29
Cullen Rutherford / Evie Trevelyan,29
Rylen (Dragon Age) / Original Female Character(s),28
Anders / Fenris / Justice (Dragon Age),28
Female Inquisitor / Rylen,28
Female Inquisitor & Iron Bull,28
Cullen Rutherford / Sebastian Vael,28
Alistair & Female Tabris,28
Iron Bull / Original Character(s),28
Alistair / Female Surana (Dragon Age),28
Cullen Rutherford / Reader,28
Female Inquisitor / OC,28
Female Aeducan / Gorim Saelac,28
Zevran Arainai / Surana,28
Isabela / Sebastian Vael,28
Female Mage Inquisitor / Solas,28
Inquisitor / Samson,28
Solas & Original Character(s),27
Inquisitor & Companions (Dragon Age),27
Male Hawke / Justice,27
Alistair & Female Amell,27
Zevran Arainai / Original Female Character(s),27
Bastien de Ghislain / Vivienne,27
Fenris & Male Hawke,27
Female Inquisitor / Vivienne,27
Cullen / Inquisitor,27
Cole / Dorian Pavus,27
Rogue Lavellan / Solas,27
Evie Trevelyan / Cullen Rutherford,27
Anders / Fenris / Hawke,26
Zevran Arainai / Original Character(s),26
Cousland / Nathaniel Howe,26
Anders / Female Rogue Hawke,26
Female Inquisitor & Varric Tethras,26
Loghain Mac Tir / Warden,26
Lace Harding / Sera,26
Cassandra Pentaghast & Cullen Rutherford,26
"Cremisius ""Krem"" Aclassi & Iron Bull",26
Morrigan / Male Surana,26
Alistair / Male Surana,26
Male Adaar / Josephine Montilyet,26
Brosca / Sten,26
Blackwall / Lavellan,26
Alistair / Female Hawke,26
Cadash / Iron Bull,26
Fenders - Relationship,26
Fenris / Male Rogue Hawke,26
Male Hawke / Male Warden,26
Rylen (Dragon Age) / Original Character(s),25
Female Adaar / Solas,25
Morrigan & Warden,25
Sten / Warden,25
Cole & Lavellan,25
Zevran Arainai / Male Brosca,25
Anders / Female Surana,25
Dorian / Lavellan,25
Regalyan D'Marcall / Cassandra Pentaghast,24
Alistair / Bethany Hawke,24
Female Amell / Loghain Mac Tir,24
Morrigan / Male Tabris,24
Female Lavellan / Female Lavellan,24
Alistair / Inquisitor,24
Cole (Dragon Age) / Original Female Character(s),24
Abelas / Female Inquisitor,24
Bethany Hawke / Cullen Rutherford,24
Female Brosca / Sten,24
Iron Bull / Cassandra Pentaghast,24
Male Hawke & Varric Tethras,24
None,24
Female Mahariel / Merrill,24
Cullen Rutherford / Surana,24
Loghain Mac Tir / Maric Theirin,24
Alistair / Warden,24
Dorian Pavus / Male Rogue Trevelyan,24
Jowan / Lily,24
Fenris / Female Warrior Hawke,24
Isabela / Merrill (Dragon Age),23
Dorian Pavus / Male Warrior Trevelyan,23
Solas / You,23
Female Inquisitor & Cassandra Pentaghast,23
Fenris / Justice,23
Fenris / Female Lavellan,23
Anders / OC,23
Family Relationships,23
Dorian Pavus / Theo Trevelyan,23
Amell / Cullen - Relationship,23
Blackwall | Thom Rainier / Female Trevelyan,23
Anders / Merrill,23
Inquisitor Lavellan / Solas,23
Bethany Hawke / Cullen,23
Female Lavellan / Samson,23
Cullen Rutherford / Solas,22
Cole / Maryden Halewell,22
Lace Harding / Female Inquisitor,22
Arishok / Hawke,22
female Hawke / Fenris,22
Cullen Rutherford & Original Character(s),22
Loghain Mac Tir / Female Tabris,22
Warden Alistair / Cousland,22
Dirthamen / Female Lavellan,22
Female Rogue Hawke / Varric Tethras,22
Adaar / Cassandra Pentaghast,22
Female Hawke & Isabela,21
cullistair - Relationship,21
Female Cousland / Morrigan,21
Female Trevelyan / Sebastian Vael,21
Cullen Rutherford / Female Inquisitor,21
Alistair / Female Mahariel (Dragon Age),21
Kaidan Alenko / Female Shepard,21
Male Lavellan / Male Trevelyan,21
fenris / oc,21
Alistair / Original Female Character(s),21
No Romantic Relationship(s),21
Solas / Female Lavellan,21
Leliana & Female Warden,21
Carver Hawke / Nathaniel Howe,21
Cole / Iron Bull,21
Kassaran / Melarue,21
Female Mage Adaar / Iron Bull,21
Solas / Female Mage Trevelyan,21
"Cremisius ""Krem"" Aclassi / Cole",21
Abelas / Inquisitor,21
Female Amell / Female Surana,20
Female Rogue Inquisitor / Solas,20
Fen'Harel | Solas / Original Character(s),20
Male Trevelyan / Original Male Character(s),20
Alistair / Male Mahariel,20
pavellan,20
Cassandra Pentaghast & Varric Tethras,20
Sten / Female Tabris,20
Merrill / Varric Tethras,20
Nelaros / Female Tabris,20
Blackwall / Male Inquisitor,20
Dorian Pavus / Iron Bull,20
Morrigan / Female Surana,20
Fenris / Cullen Rutherford,20
F!Hawke / Fenris,20
Female Hawke / Nathaniel Howe,20
Ser Cauthrien / Nathaniel Howe,20
Female Adaar / Blackwall | Thom Rainier,19
Iron Bull / Trevelyan,19
Inquisitor / Solas (Dragon Age),19
Female Cousland / Cullen Rutherford,19
Anders / Zevran Arainai,19
Various Relationships,19
Female Cousland / Ser Gilmore,19
Alistair / Original Character(s),19
Anders / Isabela (Dragon Age),19
Male Lavellan / Original Male Character(s),19
Lavellan / Lavellan,19
Female Aeducan / Leliana,19
Male Trevelyan / Original Female Character(s),19
Zevran Arainai / Female Elf Warden,19
Cousland / Morrigan,19
Lavellan / Josephine Montilyet,19
Josephine Montilyet / Sera,19
Male Mage Inquisitor / Cassandra Pentaghast,19
Anders / Cullen Rutherford,19
Alistair & Morrigan,19
Tamlen / Female Warden,19
Blackwall & Lavellan,19
Anders / Surana,19
Melarue / Kassaran,19
Cullen Rutherford / Female Lavellan,19
Dorian Pavus / Kai Trevelyan,19
Alistair & Female Surana,19
Leliana / Female Trevelyan,18
Inquisitor (Dragon Age) / Original Character(s),18
Female Lavellan & Cullen Rutherford,18
Zevran Arainai & Female Warden,18
Gereon Alexius / Female Lavellan,18
Alistair & Zevran Arainai,18
Cassandra Pentaghast / Original Female Character(s),18
Male Inquisitor & Cassandra Pentaghast,18
Bianca / Varric Tethras,18
Male Inquisitor & Dorian Pavus,18
Mage Inquisitor / Cullen Rutherford,18
Female Mage Inquisitor / Cassandra Pentaghast,18
Female Cadash / Cullen Rutherford,18
Original Female Character / Original Female Character,18
Zevran Arainai / Cousland,18
Male Hawke / Anders,18
Dorian Pavus & Original Female Character(s),18
Bethany Hawke / Carver Hawke,18
Female Inquisitor / Dorian Pavus,18
Cullen Rutherford / Warden,18
Iron Bull / Vivienne,18
Anders / Female Cousland,18
Leliana / Marjolaine,18
Alistair / Male Tabris,18
Fenris / Solas (Dragon Age),18
Anders / Male Mage Hawke,18
Maric Theirin / Loghain Mac Tir,18
Cole (Dragon Age) / Original Character(s),17
cullen - Relationship,17
Leliana / Surana,17
Cullen Rutherford / OC,17
Carver Hawke & Male Hawke,17
Leliana / Female Surana (Dragon Age),17
Melissa Hawke / Sebastian Vael,17
Fen'harel / Female Trevelyan,17
Cullen Rutherford - Relationship,17
Amell & Cullen Rutherford,17
Dorian Pavus / The Iron Bull,17
Fen'Harel / Inquisitor / Solas,17
Dagna / Lace Harding,17
Alistair / Duncan,17
Cullen Rutherford / Mage Warden,17
Caserole,17
Male Hawke / Orsino,17
Solas / Female Surana,17
Female Mage Hawke / Cullen Rutherford,17
Cullen / Surana,17
Warrior Lavellan / Solas,17
Hawke / Hawke,17
Cullen Rutherford / Original Male Character(s),16
Female Lavellan / Male Trevelyan,16
Dirthamen / Original Female Character(s),16
Zevran Arainai / Brosca,16
Female Inquisitor & Sera,16
Leliana & Morrigan,16
Fen'Harel (Dragon Age) / Original Female Character(s),16
Felix Alexius & Gereon Alexius,16
Iron Bull / Original Male Character(s),16
Zevran Arainai & Warden,16
Varric Tethras / Original Female Character(s),16
Aeducan / Alistair,16
Male Rogue Lavellan / Dorian Pavus,16
Carver Hawke / Dorian Pavus,16
Male Lavellan & Dorian Pavus,16
Carver Hawke / Sebastian Vael,16
Alistair / Female Lavellan,16
Female Lavellan / Original Character(s),16
Leliana / Sera,16
Zevran Arainai / Taliesen,16
Alistair & Mahariel,16
Leliana / Female Mahariel (Dragon Age),16
Bethany Hawke / Male Hawke,16
past Anders / Karl Thekla - Relationship,16
Nathaniel Howe / Female Mahariel,16
Zevran Arainai / Rinna,16
Amell / Anders,16
Female Cousland / Cailan Theirin,15
"Cremisius ""Krem"" Aclassi / Original Female Character(s)",15
Cullen Rutherford / Mage(s),15
Blackwall / Original Female Character(s),15
Solas / Female Inquisitor,15
Female Cousland & Nathaniel Howe,15
Bethany Hawke & Carver Hawke,15
Anders / Original Character,15
Fenris / Original Character,15
Fenris (Dragon Age) / Original Female Character(s),15
Female Hawke & Merrill,15
Sten & Warden,15
Alistair / Trevelyan,15
Male Inquisitor / Original Character(s),15
Alistair / OC,15
Female Mage Trevelyan / Cullen Rutherford,15
Fenris & Varric Tethras,15
Cullen / Female Lavellan,15
Cadash / Dorian Pavus,15
Fen'Harel / Original Character(s),15
Fen'Harel / Original Female Character(s),15
Anders & Female Warden,15
Fen'Harel / Mythal,15
Solas / Inquisitor,15
Blackwall / Male Lavellan,15
Fiona / Maric Theirin,15
Cole / Lavellan,15
Cousland / Sten,15
Zevran Arainai / Female Hawke,15
Mahariel / Morrigan,15
Male Inquisitor / Varric Tethras,15
"Cremisius ""Krem"" Aclassi / Female Trevelyan",15
Male Cousland / Sten,15
